metric_item_label,metric_cat_label,metric_subcat_label,metric_item_label_subtitle,metric_cat_item_yaxis_label,metric_source_desc_label_fn,metric_source_desc_label_url_fn,geo_label_city,geo_label_state,geo_label_citystate,geo_fips_code,value,date_label,geo_label_proxy_or_real,geo_label_proxy_footnote,geo_fips_desc,date_label_proxy_or_real,date_label_proxy_footnote,value_ci_flag_yesno,value_95_ci_low,value_95_ci_high,value_90_ci_low,value_90_ci_high,geo_strata_region,geo_strata_poverty,geo_strata_Population,geo_strata_PopDensity,geo_strata_Segregation,strata_race_label,strata_sex_label,strata_race_sex_label
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Indianapolis,IN,"Indianapolis, IN",1836003,11358.18942,2012,real,,place,real,,yes,10890.51279,11825.86604,,,Midwest,Less poor cities (<20% poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),Black,Both,
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Los Angeles,CA,"Los Angeles, CA",0644000,3853.32624,2010,real,,place,real,,yes,3469.724274,4236.928207,,,West,Less poor cities (<20% poor),Largest (>1.3 million),Lower pop. density (<10k per sq mi),Highly Segregated (50%+),Asian/PI,Male,Asian/PI Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Washington,DC,"Washington, DC",1150000,17094.17255,2018,real,,place,real,,yes,16361.96488,17826.38021,,,South,Less poor cities (<20% poor),Smaller (<1.3 million),Highest pop. density (>10k per sq mi),Highly Segregated (50%+),Black,Male,Black Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Houston,TX,"Houston, TX",4835000,10253.81699,2013,real,,place,real,,yes,9837.297479,10670.3365,,,South,Less poor cities (<20% poor),Largest (>1.3 million),Lower pop. density (<10k per sq mi),Highly Segregated (50%+),Black,Female,Black Female
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Charlotte,NC,"Charlotte, NC",3712000,2443.698555,2019,real,,place,real,,yes,1705.72733,3181.66978,,,South,Less poor cities (<20% poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),Asian/PI,Female,Asian/PI Female
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Baltimore,MD,"Baltimore, MD",2404000,17913.32377,2011,real,,place,real,,yes,17252.49858,18574.14895,,,South,Poorest cities (20%+ poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Highly Segregated (50%+),Black,Male,Black Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Boston,MA,"Boston, MA",2507000,5177.056656,2010,real,,place,real,,yes,4517.184072,5836.92924,,,Northeast,Less poor cities (<20% poor),Smaller (<1.3 million),Highest pop. density (>10k per sq mi),Less Segregated (<50%),Black,Female,Black Female
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,San Francisco,CA,"San Francisco, CA",0667000,5821.742144,2014,real,,place,real,,yes,5229.556398,6413.92789,,,West,Less poor cities (<20% poor),Smaller (<1.3 million),Highest pop. density (>10k per sq mi),Less Segregated (<50%),Hispanic,Male,Hispanic Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Memphis,TN,"Memphis, TN",4748000,6238.480142,2017,real,,place,real,,yes,4142.209884,8334.750399,,,South,Poorest cities (20%+ poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Highly Segregated (50%+),Asian/PI,Both,
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Phoenix,AZ,"Phoenix, AZ",0455000,4044.115688,2017,real,,place,real,,yes,3208.096034,4880.135341,,,West,Less poor cities (<20% poor),Largest (>1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),Asian/PI,Male,Asian/PI Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,San Francisco,CA,"San Francisco, CA",0667000,2852.612,2016,real,,place,real,,yes,2556.390017,3148.833983,,,West,Less poor cities (<20% poor),Smaller (<1.3 million),Highest pop. density (>10k per sq mi),Less Segregated (<50%),White,Female,White Female
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Louisville,KY,"Louisville, KY",2148006,9793.877674,2011,proxy,County level data were used,place,real,,yes,9376.859936,10210.89541,,,South,Less poor cities (<20% poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),White,Male,White Male
